2026-01-09 12:01:42.452 | WARNING  | __main__:main:25 - Processing your request...
2026-01-09 12:01:42.453 | INFO     | app.agent.base:run:140 - Executing step 1/20
2026-01-09 12:01:42.756 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:01:42.757 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:01:44.118 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:01:44.119 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:01:45.597 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:01:45.598 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:01:48.985 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:01:48.985 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:01:51.956 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:01:51.957 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:02:02.561 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:02:02.561 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}
2026-01-09 12:02:02.563 | INFO     | app.tool.mcp:disconnect:194 - Disconnected from all MCP servers
